Sample in Buffer,Sample in Window,TRIGGER,dbg_sample[31:0],dbg_expected[31:0],dbg_pred[31:0],dbg_cycles[31:0],dbg_correct[31:0],dbg_pulse,custom_funct3[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
439,439,0,167,0,0,655,168,0,2
440,440,0,167,0,0,655,168,0,2
441,441,0,167,0,0,655,168,0,2
442,442,0,167,0,0,655,168,0,2
443,443,0,167,0,0,655,168,0,0
444,444,0,167,0,0,655,168,0,0
445,445,0,167,0,0,655,168,0,0
446,446,0,167,0,0,655,168,0,2
447,447,0,167,0,0,655,168,0,2
448,448,0,167,0,0,655,168,0,2
449,449,0,167,0,0,655,168,0,7
450,450,0,167,0,0,655,168,0,7
451,451,0,167,0,0,655,168,0,7
452,452,0,167,0,0,655,168,0,2
453,453,0,167,0,0,655,168,0,2
454,454,0,167,0,0,655,168,0,2
455,455,0,167,0,0,655,168,0,2
456,456,0,167,0,0,655,168,0,7
457,457,0,167,0,0,655,168,0,7
458,458,0,167,0,0,655,168,0,7
459,459,0,167,0,0,655,168,0,2
460,460,0,167,0,0,655,168,0,2
461,461,0,167,0,0,655,168,0,2
462,462,0,167,0,0,655,168,0,2
463,463,0,167,0,0,655,168,0,0
464,464,0,167,0,0,655,168,0,0
465,465,0,167,0,0,655,168,0,0
466,466,0,167,0,0,655,168,0,2
467,467,0,167,0,0,655,168,0,2
468,468,0,167,0,0,655,168,0,2
469,469,0,167,0,0,655,168,0,7
470,470,0,167,0,0,655,168,0,7
471,471,0,167,0,0,655,168,0,7
472,472,0,167,0,0,655,168,0,2
473,473,0,167,0,0,655,168,0,2
474,474,0,167,0,0,655,168,0,2
475,475,0,167,0,0,655,168,0,2
476,476,0,167,0,0,655,168,0,7
477,477,0,167,0,0,655,168,0,7
478,478,0,167,0,0,655,168,0,7
479,479,0,167,0,0,655,168,0,2
480,480,0,167,0,0,655,168,0,2
481,481,0,167,0,0,655,168,0,2
482,482,0,167,0,0,655,168,0,2
483,483,0,167,0,0,655,168,0,0
484,484,0,167,0,0,655,168,0,0
485,485,0,167,0,0,655,168,0,0
486,486,0,167,0,0,655,168,0,2
487,487,0,167,0,0,655,168,0,2
488,488,0,167,0,0,655,168,0,2
489,489,0,167,0,0,655,168,0,7
490,490,0,167,0,0,655,168,0,7
491,491,0,167,0,0,655,168,0,7
492,492,0,167,0,0,655,168,0,2
493,493,0,167,0,0,655,168,0,2
494,494,0,167,0,0,655,168,0,2
495,495,0,167,0,0,655,168,0,2
496,496,0,167,0,0,655,168,0,7
497,497,0,167,0,0,655,168,0,7
498,498,0,167,0,0,655,168,0,7
499,499,0,167,0,0,655,168,0,2
500,500,0,167,0,0,655,168,0,2
501,501,0,167,0,0,655,168,0,2
502,502,0,167,0,0,655,168,0,2
503,503,0,167,0,0,655,168,0,0
504,504,0,167,0,0,655,168,0,0
505,505,0,167,0,0,655,168,0,0
506,506,0,167,0,0,655,168,0,2
507,507,0,167,0,0,655,168,0,2
508,508,0,167,0,0,655,168,0,2
509,509,0,167,0,0,655,168,0,7
510,510,0,167,0,0,655,168,0,7
511,511,0,167,0,0,655,168,0,7
512,512,0,167,0,0,655,168,0,2
513,513,0,167,0,0,655,168,0,2
514,514,0,167,0,0,655,168,0,2
515,515,0,167,0,0,655,168,0,2
516,516,0,167,0,0,655,168,0,7
517,517,0,167,0,0,655,168,0,7
518,518,0,167,0,0,655,168,0,7
519,519,0,167,0,0,655,168,0,2
520,520,0,167,0,0,655,168,0,2
521,521,0,167,0,0,655,168,0,2
522,522,0,167,0,0,655,168,0,2
523,523,0,167,0,0,655,168,0,0
524,524,0,167,0,0,655,168,0,0
525,525,0,167,0,0,655,168,0,0
526,526,0,167,0,0,655,168,0,2
527,527,0,167,0,0,655,168,0,2
528,528,0,167,0,0,655,168,0,2
529,529,0,167,0,0,655,168,0,7
530,530,0,167,0,0,655,168,0,7
531,531,0,167,0,0,655,168,0,7
532,532,0,167,0,0,655,168,0,2
533,533,0,167,0,0,655,168,0,2
534,534,0,167,0,0,655,168,0,2
535,535,0,167,0,0,655,168,0,2
536,536,0,167,0,0,655,168,0,7
537,537,0,167,0,0,655,168,0,7
538,538,0,167,0,0,655,168,0,7
539,539,0,167,0,0,655,168,0,2
540,540,0,167,0,0,655,168,0,2
541,541,0,167,0,0,655,168,0,2
542,542,0,167,0,0,655,168,0,2
543,543,0,167,0,0,655,168,0,0
544,544,0,167,0,0,655,168,0,0
545,545,0,167,0,0,655,168,0,0
546,546,0,167,0,0,655,168,0,2
547,547,0,167,0,0,655,168,0,2
548,548,0,167,0,0,655,168,0,2
549,549,0,167,0,0,655,168,0,7
550,550,0,167,0,0,655,168,0,7
551,551,0,167,0,0,655,168,0,7
552,552,0,167,0,0,655,168,0,2
553,553,0,167,0,0,655,168,0,2
554,554,0,167,0,0,655,168,0,2
555,555,0,167,0,0,655,168,0,2
556,556,0,167,0,0,655,168,0,7
557,557,0,167,0,0,655,168,0,7
558,558,0,167,0,0,655,168,0,7
559,559,0,167,0,0,655,168,0,2
560,560,0,167,0,0,655,168,0,2
561,561,0,167,0,0,655,168,0,2
562,562,0,167,0,0,655,168,0,2
563,563,0,167,0,0,655,168,0,0
564,564,0,167,0,0,655,168,0,0
565,565,0,167,0,0,655,168,0,0
566,566,0,167,0,0,655,168,0,2
567,567,0,167,0,0,655,168,0,2
568,568,0,167,0,0,655,168,0,2
569,569,0,167,0,0,655,168,0,7
570,570,0,167,0,0,655,168,0,7
571,571,0,167,0,0,655,168,0,7
572,572,0,167,0,0,655,168,0,2
573,573,0,167,0,0,655,168,0,2
574,574,0,167,0,0,655,168,0,2
575,575,0,167,0,0,655,168,0,2
576,576,0,167,0,0,655,168,0,7
577,577,0,167,0,0,655,168,0,7
578,578,0,167,0,0,655,168,0,7
579,579,0,167,0,0,655,168,0,2
580,580,0,167,0,0,655,168,0,2
581,581,0,167,0,0,655,168,0,2
582,582,0,167,0,0,655,168,0,2
583,583,0,167,0,0,655,168,0,0
584,584,0,167,0,0,655,168,0,0
585,585,0,167,0,0,655,168,0,0
586,586,0,167,0,0,655,168,0,2
587,587,0,167,0,0,655,168,0,2
588,588,0,167,0,0,655,168,0,2
589,589,0,167,0,0,655,168,0,7
590,590,0,167,0,0,655,168,0,7
591,591,0,167,0,0,655,168,0,7
592,592,0,167,0,0,655,168,0,2
593,593,0,167,0,0,655,168,0,2
594,594,0,167,0,0,655,168,0,2
595,595,0,167,0,0,655,168,0,2
596,596,0,167,0,0,655,168,0,7
597,597,0,167,0,0,655,168,0,7
598,598,0,167,0,0,655,168,0,7
599,599,0,167,0,0,655,168,0,2
600,600,0,167,0,0,655,168,0,2
601,601,0,167,0,0,655,168,0,2
602,602,0,167,0,0,655,168,0,2
603,603,0,167,0,0,655,168,0,0
604,604,0,167,0,0,655,168,0,0
605,605,0,167,0,0,655,168,0,0
606,606,0,167,0,0,655,168,0,2
607,607,0,167,0,0,655,168,0,2
608,608,0,167,0,0,655,168,0,2
609,609,0,167,0,0,655,168,0,7
610,610,0,167,0,0,655,168,0,7
611,611,0,167,0,0,655,168,0,7
612,612,0,167,0,0,655,168,0,2
613,613,0,167,0,0,655,168,0,2
614,614,0,167,0,0,655,168,0,2
615,615,0,167,0,0,655,168,0,2
616,616,0,167,0,0,655,168,0,7
617,617,0,167,0,0,655,168,0,7
618,618,0,167,0,0,655,168,0,7
619,619,0,167,0,0,655,168,0,2
620,620,0,167,0,0,655,168,0,2
